GtC yr,Column 1,Column 2,Column 3,Individual models,Column 5,Column 6,Column 7,Column 8,Column 9,Column 10,Column 11,Column 12,Column 13,Column 14,Column 15,Column 16,Column 17,Data-based products,Column 19,Column 20,Column 21,Column 22,Column 23,Column 24,Column 25,Column 26,Column 27,Column 28,Column 29,Column 30,Column 31,Column 32,Column 33,Column 34,Column 35,Column 36,Column 37,Column 38,Column 39,Column 40,Column 41,Column 42,Column 43,Column 44,Column 45,Column 46
year,GCB,,,NEMO3.6-PISCESv2-gas (CNRM),FESOM-2.1-REcoM3,NEMO-PISCES (IPSL),MOM6-COBALT (Princeton),MRI-ESM2-21,MICOM-HAMOCC (NorESM1-OCv1.2),NEMO-PlankTOM12,CESM-ETHZ,MPIOM-HAMOCC6,ACCESS (CSIRO),,Multi-model mean,Model Spread (sd),,CMEMS-LSCE-FFNN,JMA-MLR,LDEO-HPD,MPI-SOMFFN,NIES-ML3,OS_ETH_Gracer,Jena-MLS,UOEx-Watson,Average data-products (excl. Watson.),sd data-products (excl. Watson.),,,,,,,,,,,,,,,,,,,GCB
2005,2.3368994735,0.40000000000000002,,1.8080791896,2.3859144002,2.0365347527,2.0616881868,2.0885568223,2.6144182692,1.8722322115,2.2102930403,1.8424630952,3.010552587,,2.1930732555,0.38152693523,,2.4621472949,2.80998191,2.4158251,2.38815835,2.267699506,2.60836542,2.41290226,2.8900513772,2.4807256915,0.17692168117,,,,,,,,,,,,,,,,,,,2.3368994735
2006,2.4459721094,0.40000000000000002,,1.7902635302,2.4743125916,2.0659326236,2.1731871566,2.3034174222,2.7294783654,2.0926932692,2.2204576465,1.990291369,3.1026434982,,2.2942677473,0.38509436475,,2.5437730799,2.89934474,2.50890079,2.5625644,2.3541630204,2.71256594,2.60242333,3.1155864968,2.5976764715,0.17104786004,,,,,,,,,,,,,,,,,,,2.4459721094
2007,2.3777072957,0.40000000000000002,,1.8164478709,2.597710783,2.1253304945,2.1476861264,1.988278022,2.6585384615,1.9481543269,2.1466222527,1.9501196429,3.0017344093,,2.238062239,0.38379514766,,2.5352318988,2.80254545,2.32087899,2.60891726,2.2933809473,2.69427759,2.36623433,3.173725419,2.5173523523,0.19703767924,,,,,,,,,,,,,,,,,,,2.3777072957
2008,2.4013703635,0.40000000000000002,,1.7156322115,2.4001089744,1.9817283654,2.0671850962,2.2631386218,2.7645985577,2.1056153846,2.081786859,2.0389479167,3.0828253205,,2.2501567308,0.40355919629,,2.5824082543,2.71134173,2.5465911,2.7173244,2.2989037995,2.62013752,2.39138117,3.2348712027,2.5525839963,0.15714764386,,,,,,,,,,,,,,,,,,,2.4013703635
2009,2.5590658587,0.40000000000000002,,1.9858165522,2.4015071658,2.0881262363,2.1326840659,2.2439992216,2.6446586538,2.1640764423,2.2299514652,1.9597761905,3.1209162317,,2.2971512225,0.35225973489,,2.7921383962,2.82382456,2.98798334,2.92011633,2.3558811982,2.94438932,2.92253032,3.4233928605,2.8209804949,0.21618559938,,,,,,,,,,,,,,,,,,,2.5590658587
2010,2.5182828203,0.40000000000000002,,1.8930008929,2.4549053571,2.1055241071,2.1851830357,2.1448598214,2.62071875,2.0305375,2.1721160714,1.9306044643,3.0700071429,,2.2607457143,0.3606315684,,2.7671432959,2.8084808,2.98535401,2.85708442,2.2751494082,2.89359788,2.84392967,3.4795999171,2.7758199263,0.23124014141,,,,,,,,,,,,,,,,,,,2.5182828203
2011,2.5568467065,0.40000000000000002,,1.8751852335,2.7103035485,2.136921978,2.2286820055,2.2737204212,2.7877788462,2.1709985577,2.1222806777,2.1014327381,3.111098054,,2.351840206,0.38554097277,,2.6768652815,2.71454289,2.98883305,2.96123137,2.2535000267,2.89639593,2.8416039,3.5292216786,2.7618532069,0.25285621338,,,,,,,,,,,,,,,,,,,2.5568467065
2012,2.6176984258,0.40000000000000002,,2.0483695742,2.5087017399,2.2443198489,2.2401809753,2.4825810211,2.9338389423,2.1834596154,2.3364452839,2.0642610119,3.2731889652,,2.4315346978,0.39344720126,,2.7738520322,2.78474109,2.86347093,3.07338395,2.3377296743,2.95218651,2.84167089,3.5581412852,2.8038621538,0.23027900863,,,,,,,,,,,,,,,,,,,2.6176984258
2013,2.6494862414,0.40000000000000002,,1.9605539148,2.6590999313,2.2507177198,2.2706799451,2.3234416209,2.9378990385,2.2339206731,2.3406098901,2.1290892857,3.2372798764,,2.4343291896,0.39274049601,,2.8504727688,2.93740183,2.86894958,2.96301498,2.4794605144,3.01950721,2.93369617,3.5762078565,2.8646432933,0.17902841809,,,,,,,,,,,,,,,,,,,2.6494862414
2014,2.7859542239,0.40000000000000002,,2.2697382555,2.8084981227,2.4101155907,2.3101789148,2.5233022207,3.0009591346,2.4313817308,2.3947744963,2.3129175595,3.3953707875,,2.5857236813,0.36859944037,,2.9958072998,3.01125086,3.19019609,3.01804843,2.4252487453,3.09995937,3.16278257,3.5893789352,2.9861847664,0.25888783926,,,,,,,,,,,,,,,,,,,2.7859542239
2015,2.8499921908,0.40000000000000002,,2.3599225962,2.7748963141,2.4575134615,2.2676778846,2.6981628205,3.1190192308,2.5598427885,2.5809391026,2.3257458333,3.5354616987,,2.6679181731,0.39498723729,,3.2063823221,3.18702153,3.03251247,3.22180715,2.562237037,3.14075737,2.87374558,3.6712044016,3.0320662084,0.24083802426,,,,,,,,,,,,,,,,,,,2.8499921908
2016,2.9692370407,0.40000000000000002,,2.3541069368,3.0532945055,2.5549113324,2.4491768544,2.5000234203,3.0800793269,2.5243038462,2.6271037088,2.2925741071,3.3915526099,,2.6827126648,0.36367083352,,3.2880660401,3.47894178,3.36027671,3.2525188,2.7939450364,3.28266665,3.3339149,3.7665424246,3.2557614166,0.21675379737,,,,,,,,,,,,,,,,,,,2.9692370407
2017,2.8304981018,0.40000000000000002,,1.9642912775,2.7536926969,2.2533092033,2.3096758242,2.4478840201,3.0271394231,2.4067649038,2.380268315,2.305402381,3.3236435211,,2.5172071566,0.40350409442,,3.1615123154,3.38420822,3.05401061,3.20233049,2.7067306035,3.27314208,3.22458901,3.9065300182,3.143789047,0.21751769486,,,,,,,,,,,,,,,,,,,2.8304981018
2018,2.907491374,0.40000000000000002,,2.2414756181,2.8840908883,2.3277070742,2.295174794,2.53174462,3.0101995192,2.4492259615,2.4444329212,2.2692306548,3.4977344322,,2.5951016484,0.40977786803,,3.1480100603,3.38782414,3.2606795,3.21740117,2.7205362773,3.35228807,3.45242848,4.0317861895,3.2198810997,0.24358301533,,,,,,,,,,,,,,,,,,,2.907491374
2019,2.9559315226,0.40000000000000002,,2.2176599588,2.8934890797,2.1831049451,2.4176737637,2.4766052198,3.0542596154,2.4786870192,2.4435975275,2.2170589286,3.4628253434,,2.5844961401,0.42016246509,,3.3298551524,3.53768216,3.43267868,3.27684488,2.7360344231,3.45100445,3.52746859,4.0058045624,3.3273669051,0.27775371999,,,,,,,,,,,,,,,,,,,2.9559315226
2020,2.9143654696,0.40000000000000002,,2.3238442995,2.8648872711,2.0055028159,2.4421727335,2.3854658196,2.9753197115,2.4321480769,2.4587621337,2.3808872024,3.4799162546,,2.5748906319,0.41842748185,,3.3499191365,3.65823906,3.16533711,3.22572341,2.6860978654,3.2576572,3.43390837,4.0138048655,3.2538403074,0.29893238495,,,,,,,,,,,,,,,,,,,2.9143654696
2021,2.8255850121,0.40000000000000002,,2.0170286401,2.7242854625,1.8879006868,2.2456717033,2.4173264194,3.0893798077,2.3406091346,2.2279267399,2.5267154762,3.3350071658,,2.4811851236,0.45594312853,,3.2948696571,3.53001202,3.17589427,3.34101048,2.5506454868,3.20042994,3.09703245,3.9265370044,3.1699849006,0.30668405799,,,,,,,,,,,,,,,,,,,2.8255850121
2022,2.7796940575,0.40000000000000002,,2.0232129808,2.7546836538,1.9012985577,2.2731706731,2.3241870192,3.0934399038,2.3220701923,2.2950913462,2.46254375,3.3110980769,,2.4760796154,0.44874807278,,3.2432905092,3.34221559,2.92958255,3.32272115,2.4558269381,3.26544353,3.02407923,4.0779040171,3.0833084996,0.31727790009,,,,,,,,,,,,,,,,,,,2.7796940575
